question,answer,score
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,teks yang menceritakan tidak benar / hoax,0
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"abstrak, orientasi, reaksi",0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,,0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",,0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Teks yang mendeskripsikan ciri umum Suatu objek dari hasil pengamatan langsung,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Disusun secara sistematis, Terdapat perincian bagian suatu objek, Berisi pembahasan suatu objek",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,Sebagai data hasil pengamatan dan sebagai dasar memustukan suatu hal,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,"Teks / cerita singkat yg bersifat lucu / menyindir. Biasa diguanakan untuk mengkritik  perilaku, kebijakan / keadaan tertentu.",10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"cerita Singkat, menyindiri",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Abstraksi = Gambaran awal isi cerita,
Orientasi = Latar, Serta pengenalan tokoh,
krisis = Puncak suatu masalah,
Reaksi = Tanggapan / cara tokoh menghadapi masalah,
 Koda = penutup dan kesimpulan.",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,Hikayat merupakan kasrya sastra melayu klasik berupa prosa,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"menggunakan bahasa melayu lama, bersifat istanosentris, prologis",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Abstraksi = Gambaran awal isi cerita,
Orientasi = Pengenalan tokoh, latar, dan tempat,
komplikasi = mualinya muncul permasalahan
koda = penutup dan kesimpulan",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Hikayat = Pesan / nilai yg sering ingin disampaikan yaitu seperti hal-hal apapun yang ada pd zaman keistanaan dan tidak ditemukan pd msa sekarang,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Teks hasil Observasi adalah Teks yang dokumpulkan jadi satu dan dijadikan Observasi untuk Laporan,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Menggunakan bahasa baku Merupakan teks untuk laporan, daat dipahami oleh pembaca",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,untuk laporan hasil Observasi yang dilakukan,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,"teks anekdot Sebuah kalimat yang utnuk / digunakan bercerita, ecramah dll",10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"dapat dipahami oleh pembaca / pendengar, Mudah dimengerti",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Pembukaan = untuk Memulai, Deskripsi = Pesan yang akan disampaikan, Koda= untuk Pesan inspiratif",0
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,hikayat yaitu cerit apendek dan alurnya nyambung dapat dipahami oleh Pembaca,0
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Menggunakan alur maju / Mundur, Menggunakan Bahasa yang jelas, mudah dimengerti",0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"koda, Bagian Paragraf Pertama, Pembukaan",5
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","Hikayat. Pesan ynag bIsa disampaikan = motivasi, inspiratif untuk Pembaca",0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Pengertian teks yg berisi Penjabaran umum dan Pelaporan hasil Pengamatan,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Objek dan ilimiah, bahasa baku dan ilmiah, sistematis dan terstruktur",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,tujuan dibuatnya untuk melaporkan hasil pengamatan secara  sistematis agar dp di Pahami dan di gunakan sebagai Landasan untuk tindakan/pemahaman lebih lanjut,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks anekdot adalah tulisan singkat berisi verita lucu / sindiran,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"cerita singkat, humor",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstrak = pembuka dari sebuah cerita,
orientasi = menjelaskan latar tokoh dan sitasi,
krisis = bagian dari kejadian lucu / tegang,
Reaksi = seorang tokoh memberi repson,
koda = Penutup dari sebuah cerita",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,Hikayat adalah karya sastra melayu klasik hikayat termasuk ke dlm teks cerita rakyat juga cerita percakapan berisi cerita sisilah UUD yg bersifat sejarah keagamaan dll,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"bersifat intanosentaris
Proosis / tdk logis
Strais / logis",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abstrak, orientasi, krisi, rekasi, koda",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",LHO adalah laporam yg biasanya digunakan dlm cerita hikayat,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Sebuah teks observasi yg ada pada ceritanya / dan ada pada kalimat pertama,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,latar/waktu/tempat/ tokoh nya,0
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,biyar bisa mengetahui apa itu teks observasi dan apa itu teks observasi,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks yang ada kalimat pertamanya dan telahir nya,0
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,ciri cirnya ada pada kalimat pertamanya,0
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,kalimat awal/kalimat akhir yg ada pada teks anekdot,0
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,sebuah cerita/ atau kalimat,0
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,sebuah kalimat / cerita / unsur Hikayat,0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,Ada banyak jenis strukutr umum hikayat ,0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",memahami dulu apa yg mau kita  ceritakan/ dan kita tulis terlebih dahulu dan kita susun dengna rapi / benar cerita  tersebut,0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Teks laporan hasil observasi adalah teks yang berisi penjabaran fakta berdasarkanpengamatan terhadap suatu objek Secara sistematis dan objektif,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Bersifat Objektif,Disusun sistematis, Ditulis Berdasarkan Fakta",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,tujuannya adalah = tujuan LHO adalah memberikan informasi faktual tentang suatu objek pengamatan agar pembaca memahami objek tsb dg jelas dan akurat,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,"teks anekdot adalah = cerita singkat yg lucu / menyindir, baisanya berkaitan dg kejadian nyata, mengandung pesan / kritik",10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"mengandung humor/sindiran, berdasarkan kejadian yg hampir nyata",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Abstrak, Orientasi, Krisi, Rekasi, Koda",5
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"Hikayat adalah = cerita klasik yg berisi tentang tokoh hebat. Biasanya penuh kejadian, dan bertujuan memberikan pelajaran oral / hiburan",10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"menagndung unsur fantastik / ajaib, cerita berlatarkan kejadian, bersifat turun temurun",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"tema, tokoh dan penokohanm alur, latar, amanat",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","mengaanalisis teks pesan, tentang nilai moral, krisis sosial, informasi penting, pelajaran hidup yang ingin disampaikan oleh pneulis",10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,teks laporan observasi yoiku teks kang dijelasake tentang nopo mawo teng teks niku enten unsur latar lan suara,0
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"alur, cerita, tema , gambaran",0
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,Tujuan dibuatkan tek observasi adalah agar di pahami dan cepat di lakukan,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,anekdot yaitu sebah laporan yang tidak pasti tapi dapat di pahami,0
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Tulisan ,kejelasan",0
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Tulisan= setiap tek pasti memiliki tulisan maka perjelas tulisan dari teks anekdot, tampilan menjadi lebih berkreasi",0
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,hikayat yoikuteks dasar seng gampang dijelasne. Kojok ape cerito nagnggo teks ikid adi lebih gampang,0
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"crita lama tentang apa saja, kejelasan biar semakin jelas",0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"pembicara = menjelaskan alur laurnya,
penulis = halus lebih jelas dan ditail",0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Hikayat harus lebih teliti lagi agar semua dpaat memahami apa yang seharusnya dipahami,0
